"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","13:24","13:24","5.00","22.4","122","160","67","96","67","43.6","13:22","22.4"
"2","40:21","53:45","5.00","7.4","162","178","415","19","313","14.2","38:51","7.7"
"3","23:12","1:16:57","5.00","12.9","149","173","225","91","118","27.4","23:12","12.9"
"4","14:11","1:31:08","5.00","21.2","129","173","172","290","37","50.2","13:56","21.5"
"5","8:53.2","1:40:01","5.00","33.8","130","157","6","258","23","50.5","8:53.2","33.8"
"6","9:29.3","1:49:31","5.00","31.6","123","146","28","236","21","55.2","9:29.3","31.6"
"7","7:51.4","1:57:22","1.98","15.2","119","147","71","16","14","34.5","7:50","15.2"
"Resumen","1:57:22","1:57:22","31.98","16.4","143","178","985","1,008","593","55.2","1:55:34","16.6"
