"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","0:00.8","0:00.8","0","0","130","130","0","0","0","0","0:00.8","0"
"2","17:39","17:40","5.00","17.0","132","154","58","41","99","23.7","17:33","17.1"
"3","2:27.4","20:07","0.66","16.2","128","144","10","6","11","21.4","2:27.4","16.2"
"4","10:40","30:47","3.99","22.5","152","160","15","4","79","24.5","10:39","22.5"
"5","9:15.4","40:02","3.15","20.4","140","156","23","12","49","33.5","9:15.4","20.4"
"6","10:50","50:52","4.36","24.1","154","168","24","14","78","28.7","10:50","24.2"
"7","9:11.9","1:00:04","3.26","21.2","144","163","22","17","47","39.1","9:11.9","21.2"
"8","9:58.9","1:10:03","3.58","21.5","156","168","34","1","70","35.4","9:58.9","21.5"
"9","9:59.9","1:20:03","4.43","26.6","139","160","8","44","35","38.6","9:59.9","26.6"
"10","11:55","1:31:58","5.00","25.2","141","153","7","13","47","31.0","11:55","25.2"
"11","12:18","1:44:16","5.00","24.4","140","160","16","38","48","32.9","12:17","24.4"
"12","12:49","1:57:04","5.00","23.4","143","155","10","26","55","27.9","12:41","23.7"
"13","11:26","2:08:30","4.66","24.4","143","162","22","33","50","34.9","11:25","24.5"
"Resumen","2:08:30","2:08:30","48.10","22.5","143","168","251","248","668","39.1","2:08:14","22.5"
