"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","14:02","14:02","5.00","21.4","133","156","67","36","83","27.4","14:01","21.4"
"2","12:16","26:18","5.00","24.4","151","173","45","36","87","41.0","12:16","24.4"
"3","11:43","38:01","5.00","25.6","144","165","47","24","69","36.2","11:43","25.6"
"4","12:00","50:01","5.00","25.0","144","157","36","26","66","29.6","11:58","25.1"
"5","13:25","1:03:25","5.00","22.4","141","162","56","16","64","36.5","13:25","22.4"
"6","14:39","1:18:04","5.00","20.5","135","170","76","113","65","41.6","14:34","20.6"
"7","10:57","1:29:01","5.00","27.4","129","153","12","26","35","38.3","10:57","27.4"
"8","11:27","1:40:28","5.00","26.2","140","155","12","30","54","29.7","11:27","26.2"
"9","12:24","1:52:52","5.00","24.2","146","168","39","41","67","33.3","12:23","24.2"
"10","11:02","2:03:54","5.00","27.2","147","166","16","41","60","44.8","11:02","27.2"
"11","7:20.0","2:11:14","3.27","26.7","135","161","42","49","23","34.8","7:20.0","26.7"
"Resumen","2:11:14","2:11:14","53.27","24.4","141","173","448","440","673","44.8","2:11:06","24.4"
