"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","13:18","13:18","5.00","22.6","136","158","25","19","82","28.9","13:18","22.6"
"2","13:16","26:34","5.00","22.6","144","160","23","7","85","27.6","13:12","22.7"
"3","11:24","37:58","5.00","26.3","141","170","33","17","65","35.6","11:24","26.3"
"4","11:11","49:09","5.00","26.8","148","174","41","31","69","37.3","11:11","26.8"
"5","12:08","1:01:18","5.00","24.7","149","170","43","25","74","40.2","12:08","24.7"
"6","12:12","1:13:30","5.00","24.6","122","142","23","33","32","37.7","12:06","24.8"
"7","11:25","1:24:55","5.00","26.3","131","166","23","29","53","31.5","11:25","26.3"
"8","10:14","1:35:09","5.00","29.3","160","177","11","26","78","40.3","10:14","29.3"
"9","10:40","1:45:49","5.00","28.1","159","181","18","40","77","37.1","10:40","28.1"
"10","12:01","1:57:50","5.00","25.0","166","182","28","26","94","35.1","12:00","25.0"
"11","10:46","2:08:36","5.00","27.9","158","173","12","30","67","43.9","10:45","27.9"
"12","1:40.2","2:10:16","0.63","22.6","143","151","0","23","4","36.2","1:38","23.1"
"Resumen","2:10:16","2:10:16","55.63","25.6","146","182","281","305","780","43.9","2:10:02","25.7"
