"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","14:50","14:50","5.00","20.2","122","145","30","21","74","26.5","14:42","20.4"
"2","11:28","26:18","5.00","26.2","145","162","33","11","79","30.6","11:28","26.2"
"3","10:25","36:43","5.00","28.8","147","164","41","24","70","34.0","10:24","28.8"
"4","10:13","46:56","5.00","29.4","137","154","31","27","49","40.8","10:13","29.4"
"5","10:59","57:55","5.00","27.3","141","162","53","35","59","37.0","10:59","27.3"
"6","11:23","1:09:18","5.00","26.4","140","161","46","23","57","33.0","11:18","26.5"
"7","10:14","1:19:31","5.00","29.3","145","170","28","14","60","34.2","10:13","29.4"
"8","10:49","1:30:20","5.00","27.7","156","173","46","31","75","36.9","10:49","27.8"
"9","11:03","1:41:23","5.00","27.2","151","161","26","28","69","31.7","11:03","27.2"
"10","11:03","1:52:26","5.00","27.2","153","176","24","42","68","35.6","11:01","27.2"
"11","10:47","2:03:13","5.00","27.8","149","161","13","26","55","36.1","10:47","27.8"
"12","11:12","2:14:24","5.00","26.8","142","160","13","34","37","30.6","11:11","26.8"
"13","11:53","2:26:17","5.00","25.2","143","167","34","47","44","34.7","11:53","25.2"
"14","11:42","2:38:00","5.00","25.6","148","168","14","23","56","38.3","11:42","25.6"
"15","12:52","2:50:51","5.00","23.3","152","166","20","31","71","29.9","12:52","23.3"
"16","11:51","3:02:42","5.00","25.3","150","165","22","40","58","38.0","11:51","25.3"
"17","12:19","3:15:01","5.00","24.4","160","172","21","40","83","38.6","12:19","24.4"
"18","5:52.2","3:20:53","2.24","22.9","158","175","30","26","35","33.1","5:52","22.9"
"Resumen","3:20:53","3:20:53","87.24","26.1","146","176","524","523","1,099","40.8","3:20:35","26.1"
