"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","18:30","18:30","5.00","16.2","134","165","174","106","108","37.3","18:09","16.5"
"2","28:10","46:40","5.00","10.7","165","178","367","114","224","23.6","28:10","10.7"
"3","43:50","1:30:30","5.00","6.8","168","187","488","80","339","11.2","43:13","6.9"
"4","46:19","2:16:50","5.00","6.5","171","186","510","101","354","14.2","46:19","6.5"
"5","12:51","2:29:40","5.00","23.4","131","180","44","380","43","45.2","12:47","23.5"
"6","7:07.8","2:36:48","5.00","42.1","113","131","1","415","11","59.1","7:03","42.6"
"7","7:41.3","2:44:29","5.00","39.0","116","127","21","326","15","50.7","7:41","39.0"
"8","2:56.2","2:47:25","1.89","38.6","125","138","9","97","9","48.7","2:56","38.7"
"Resumen","2:47:25","2:47:25","36.89","13.2","156","187","1,614","1,619","1,103","59.1","2:46:18","13.3"
