"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","0:00.1","0:00.1","0","0","110","110","0","0","0","0","0:00.1","0"
"2","11:01","11:01","5.00","27.2","146","161","1","33","79","36.1","11:00","27.3"
"3","11:53","22:54","5.00","25.3","166","174","8","2","101","29.2","11:52","25.3"
"4","12:23","35:17","5.00","24.2","158","174","15","6","92","28.2","12:23","24.2"
"5","12:05","47:22","5.00","24.8","152","169","15","10","77","30.6","12:05","24.8"
"6","12:27","59:49","5.00","24.1","158","168","12","3","90","29.3","12:27","24.1"
"7","12:19","1:12:08","5.00","24.4","159","166","7","3","89","28.2","12:19","24.4"
"8","10:38","1:22:46","5.00","28.2","158","169","0","18","68","31.0","10:37","28.3"
"9","9:35.3","1:32:21","5.00","31.3","154","165","25","16","49","38.6","9:35.3","31.3"
"10","9:24.7","1:41:46","5.00","31.9","154","167","19","28","46","35.5","9:24","31.9"
"11","8:24.7","1:50:11","5.00","35.7","161","169","6","16","55","38.8","8:24.7","35.7"
"12","8:50.5","1:59:01","5.00","33.9","163","174","13","13","60","40.9","8:50","34.0"
"13","7:35.7","2:06:37","2.89","22.8","148","171","41","41","30","38.1","7:30","23.1"
"Resumen","2:06:37","2:06:37","57.89","27.4","157","174","161","189","836","40.9","2:06:27","27.5"
