"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","1193:02:47","1193:02:47","0","0","100","100","0","0","0","0","0:01","0"
"2","13:26","1193:16:13","5.00","22.3","145","165","21","23","94","29.4","13:25","22.4"
"3","12:18","1193:28:32","5.00","24.4","152","167","30","6","90","29.5","12:18","24.4"
"4","11:19","1193:39:50","5.00","26.5","148","164","27","14","72","34.8","11:13","26.7"
"5","10:31","1193:50:22","5.00","28.5","147","170","30","23","62","40.9","10:31","28.5"
"6","11:27","1194:01:49","5.00","26.2","153","171","44","19","72","38.5","11:27","26.2"
"7","11:58","1194:13:47","5.00","25.1","149","171","47","27","64","37.2","11:57","25.1"
"8","12:59","1194:26:46","5.00","23.1","151","169","55","0","72","29.7","12:59","23.1"
"9","14:15","1194:41:01","5.00","21.0","141","171","53","7","56","31.9","13:45","21.8"
"10","13:04","1194:54:05","5.00","22.9","152","165","5","50","74","39.3","13:04","23.0"
"11","12:39","1195:06:44","5.00","23.7","154","162","3","54","75","29.7","12:39","23.7"
"12","13:02","1195:19:47","5.00","23.0","147","166","41","70","73","32.7","12:53","23.3"
"13","9:57.7","1195:29:44","5.00","30.1","160","172","25","46","79","42.3","9:57.7","30.1"
"14","9:41.7","1195:39:26","5.00","30.9","162","172","21","27","76","42.8","9:41","31.0"
"15","10:47","1195:50:13","5.00","27.8","161","171","27","48","82","36.2","10:47","27.8"
"16","12:45","1196:02:57","5.00","23.5","163","173","25","31","97","32.3","12:45","23.5"
"17","11:25","1196:14:22","5.00","26.3","162","174","27","42","80","41.9","11:25","26.3"
"18","4:23.2","1196:18:46","1.68","22.9","147","170","10","26","17","35.0","4:22","23.0"
"Resumen","3:15:58","3:15:58","81.68","25.0","152","174","491","513","1,235","42.8","3:15:09","25.1"
