"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","1193:02:47","1193:02:47","0","0","118","118","0","0","0","0","0","--"
"2","11:43","1193:14:30","5.00","25.6","150","177","14","36","88","33.9","11:43","25.6"
"3","11:58","1193:26:28","5.00","25.1","156","165","11","6","94","28.8","11:57","25.1"
"4","11:02","1193:37:30","5.00","27.2","164","176","12","5","91","29.5","11:02","27.2"
"5","12:25","1193:49:55","5.00","24.2","163","179","26","4","98","30.7","12:24","24.2"
"6","14:55","1194:04:50","5.00","20.1","165","180","59","7","117","25.0","14:55","20.1"
"7","13:15","1194:18:04","5.00","22.7","151","175","29","33","62","36.8","13:15","22.7"
"8","11:46","1194:29:50","5.00","25.5","146","167","20","45","51","34.4","11:45","25.5"
"9","12:11","1194:42:01","5.00","24.6","162","175","57","10","85","34.2","12:11","24.6"
"10","14:05","1194:56:06","5.00","21.3","149","175","101","53","78","27.0","13:57","21.5"
"11","14:19","1195:10:26","5.00","20.9","159","175","94","25","109","51.7","14:19","20.9"
"12","7:51.3","1195:18:17","5.00","38.2","156","173","5","59","54","52.1","7:51.3","38.2"
"13","9:04.4","1195:27:22","5.00","33.1","154","176","29","43","56","41.5","9:03","33.1"
"14","8:53.3","1195:36:15","5.00","33.8","151","174","7","84","49","55.9","8:53.3","33.8"
"15","10:36","1195:46:50","5.00","28.3","159","176","11","52","75","40.6","10:34","28.4"
"16","11:29","1195:58:19","5.00","26.1","153","178","33","72","59","41.3","11:29","26.1"
"17","8:27.2","1196:06:46","5.00","35.5","154","164","7","14","45","40.3","8:27","35.5"
"18","8:08.2","1196:14:55","3.46","25.5","154","171","26","7","42","33.6","8:06","25.7"
"Resumen","3:12:07","3:12:07","83.46","26.1","156","180","541","555","1,253","55.9","3:11:51","26.1"
